,Datetime,Open,High,Low,Close,Volume,HA_Close,HA_Open,HA_High,HA_Low
0,2024-01-01,1.1002,1.1021,1.0981,1.101,15867436.3,1.1003500000000002,1.1006,1.1021,1.0981
1,2024-01-02,1.101,1.1041,1.0914,1.0923,33370571.3,1.0972,1.100475,1.1041,1.0914
2,2024-01-03,1.0924,1.0946,1.0736,1.0875,41073959.8,1.0870250000000001,1.0988375000000001,1.0988375000000001,1.0736
3,2024-01-04,1.0875,1.0936,1.087,1.0916,25565623.9,1.0899249999999998,1.0929312500000001,1.0936,1.087
4,2024-01-05,1.0916,1.0954,1.0838,1.09,19419102.1,1.0902,1.091428125,1.0954,1.0838
5,2024-01-06,1.09,1.0906,1.0874,1.0905,8484901.2,1.0896249999999998,1.0908140625,1.0908140625,1.0874
6,2024-01-07,1.0906,1.0906,1.087,1.0905,9301308.7,1.0896750000000002,1.0902195312499998,1.0906,1.087
7,2024-01-08,1.0905,1.0944,1.0898,1.0933,33092416.9,1.092,1.089947265625,1.0944,1.0898
8,2024-01-09,1.0933,1.0944,1.0882,1.0909,32942193.4,1.0917,1.0909736328125001,1.0944,1.0882
9,2024-01-10,1.091,1.0958,1.0902,1.0954,37208094.7,1.0931,1.09133681640625,1.0958,1.0902
10,2024-01-11,1.0954,1.0975,1.0917,1.0962,38626996.7,1.0952,1.092218408203125,1.0975,1.0917
11,2024-01-12,1.0962,1.0975,1.0909,1.0915,33040251.3,1.0940249999999998,1.0937092041015624,1.0975,1.0909
12,2024-01-13,1.0916,1.092,1.0892,1.0909,12216717.3,1.090925,1.093867102050781,1.093867102050781,1.0892
13,2024-01-14,1.0909,1.0929,1.0894,1.0927,10765675.3,1.091475,1.0923960510253905,1.0929,1.0894
14,2024-01-15,1.0928,1.0953,1.0912,1.0941,20794482.8,1.09335,1.0919355255126952,1.0953,1.0912
15,2024-01-16,1.0942,1.0942,1.0857,1.0866,20073015.7,1.0901750000000001,1.0926427627563475,1.0942,1.0857
16,2024-01-17,1.0866,1.0878,1.0837,1.0877,20618187.9,1.0864500000000001,1.091408881378174,1.091408881378174,1.0837
17,2024-01-18,1.0878,1.0903,1.0844,1.0874,23848853.3,1.087475,1.088929440689087,1.0903,1.0844
18,2024-01-19,1.0874,1.0896,1.0863,1.0888,19886705.5,1.088025,1.0882022203445434,1.0896,1.0863
19,2024-01-20,1.0887,1.0939,1.0865,1.0883,12205581.4,1.08935,1.0881136101722717,1.0939,1.0865
20,2024-01-21,1.0883,1.0885,1.0872,1.0884,7209679.5,1.0881,1.0887318050861359,1.0887318050861359,1.0872
21,2024-01-22,1.0884,1.0905,1.0875,1.0878,22358994.6,1.0885500000000001,1.088415902543068,1.0905,1.0875
22,2024-01-23,1.0878,1.0914,1.0822,1.0847,26537729.8,1.086525,1.088482951271534,1.0914,1.0822
23,2024-01-24,1.0847,1.0924,1.0843,1.088,25450829.0,1.08735,1.087503975635767,1.0924,1.0843
24,2024-01-25,1.088,1.0897,1.0819,1.084,38837556.1,1.0859,1.0874269878178835,1.0897,1.0819
25,2024-01-26,1.0841,1.0843,1.0811,1.0825,2161071.9,1.0830000000000002,1.086663493908942,1.086663493908942,1.0811
