,Datetime,Open,High,Low,Close,Volume,HA_Close,HA_Open,HA_High,HA_Low
0,2024-01-02,1.10411,1.10439,1.09372,1.09402,82425,1.0990600000000001,1.099065,1.10439,1.09372
1,2024-01-03,1.09411,1.09648,1.08923,1.09201,88830,1.0929575,1.0990625,1.0990625,1.08923
2,2024-01-04,1.09199,1.09714,1.09139,1.0943100000000001,79127,1.0937075,1.0960100000000002,1.09714,1.09139
3,2024-01-05,1.0945,1.09976,1.0876,1.09397,100541,1.0939575000000001,1.0948587500000002,1.09976,1.0876
4,2024-01-08,1.09389,1.09779,1.09218,1.09488,68208,1.094685,1.0944081250000002,1.09779,1.09218
5,2024-01-09,1.09486,1.09655,1.09096,1.09297,77537,1.093835,1.0945465625000002,1.09655,1.09096
6,2024-01-10,1.09297,1.09717,1.09219,1.09711,67107,1.09486,1.09419078125,1.09717,1.09219
7,2024-01-11,1.09673,1.09899,1.09295,1.09707,97750,1.096435,1.0945253906249999,1.09899,1.09295
8,2024-01-12,1.09689,1.09861,1.09351,1.09476,80742,1.0959425,1.0954801953125,1.09861,1.09351
9,2024-01-15,1.09444,1.09666,1.09327,1.09469,46632,1.094765,1.0957113476562501,1.09666,1.09327
10,2024-01-16,1.09469,1.095,1.08611,1.08737,96351,1.0907924999999998,1.095238173828125,1.095238173828125,1.08611
11,2024-01-17,1.08696,1.08836,1.08437,1.08801,84958,1.086925,1.0930153369140623,1.0930153369140623,1.08437
12,2024-01-18,1.08795,1.0906,1.08458,1.08745,83452,1.0876450000000002,1.089970168457031,1.0906,1.08458
13,2024-01-19,1.08719,1.08965,1.08648,1.0896,72499,1.08823,1.0888075842285156,1.08965,1.08648
14,2024-01-22,1.08895,1.09087,1.08791,1.08809,64466,1.0889550000000001,1.0885187921142578,1.09087,1.08791
15,2024-01-23,1.08813,1.09154,1.08207,1.0853,72804,1.08676,1.0887368960571289,1.09154,1.08207
16,2024-01-24,1.08535,1.09315,1.08463,1.0883099999999999,84648,1.08786,1.0877484480285644,1.09315,1.08463
17,2024-01-25,1.08817,1.09011,1.08208,1.08447,87941,1.0862075,1.0878042240142822,1.09011,1.08208
