Datetime,Symbol,Market,Time,Open,High,Low,Close,Volume,Value,Signal,Position,Capital,Shares_Held,Market_Return,Cumulative_Market_Returns,Strategy_Value,Cumulative_Strategy_Returns
2023-08-01,VCB,HOSE,,91600,92800,91200,91200,1282915,118055505500,,,100000000,0,,,100000000,1.0
2023-08-02,VCB,HOSE,,91200,91500,91000,91500,1055800,96396040000.0011,,,100000000,0,0.00328947368421062,1.0032894736842106,100000000,1.0
2023-08-03,VCB,HOSE,,91500,91500,90500,90600,837900,76186870000.0002,,,100000000,0,-0.00983606557377048,0.9934210526315791,100000000,1.0
2023-08-04,VCB,HOSE,,90700,91100,90100,90100,1231600,111224970000,,,100000000,0,-0.0055187637969095205,0.9879385964912282,100000000,1.0
2023-08-07,VCB,HOSE,,90100,90800,90000,90800,1111700,100495550000,,,100000000,0,0.007769145394006749,0.9956140350877195,100000000,1.0
2023-08-08,VCB,HOSE,,90800,91200,90100,90700,823400,74691700000,,,100000000,0,-0.0011013215859030367,0.9945175438596494,100000000,1.0
2023-08-09,VCB,HOSE,,90700,90900,90100,90200,591600,53457970000,,,100000000,0,-0.005512679162072764,0.9890350877192985,100000000,1.0
2023-08-10,VCB,HOSE,,90500,90500,88500,88500,1336100,119444259999.9990,,,100000000,0,-0.018847006651884657,0.9703947368421055,100000000,1.0
2023-08-11,VCB,HOSE,,88500,90400,88500,90400,920800,82213689999.9999,,,100000000,0,0.021468926553672274,0.9912280701754388,100000000,1.0
2023-08-14,VCB,HOSE,,90300,90300,89000,89000,1471800,131623979999.9980,,,100000000,0,-0.015486725663716783,0.9758771929824563,100000000,1.0
2023-08-15,VCB,HOSE,,90000,90000,88500,88900,1148500,102120370000,,,100000000,0,-0.0011235955056180247,0.9747807017543861,100000000,1.0
2023-08-16,VCB,HOSE,,88800,89400,88700,89200,727300,64826110000,,,100000000,0,0.003374578177727683,0.9780701754385965,100000000,1.0
2023-08-17,VCB,HOSE,,89200,89800,88600,89400,2145100,191693480000.0010,,,100000000,0,0.0022421524663676085,0.9802631578947368,100000000,1.0
2023-08-18,VCB,HOSE,,89800,90300,89000,89500,2430400,217491950000.0030,,,100000000,0,0.0011185682326622093,0.981359649122807,100000000,1.0
2023-08-21,VCB,HOSE,,89700,90200,89200,89800,1710900,153317170000.0010,,,100000000,0,0.003351955307262511,0.9846491228070176,100000000,1.0
2023-08-22,VCB,HOSE,,89500,89700,87800,88400,1825000,161531760000.0010,,,100000000,0,-0.015590200445434244,0.9692982456140351,100000000,1.0
2023-08-23,VCB,HOSE,,88900,88900,86100,86300,1754800,152698219999.9990,,,100000000,0,-0.02375565610859731,0.9462719298245614,100000000,1.0
2023-08-24,VCB,HOSE,,86300,88200,86000,87000,902800,78529619999.9997,,,100000000,0,0.008111239860950192,0.9539473684210527,100000000,1.0
2023-08-25,VCB,HOSE,,86200,87000,86000,86200,1404600,121227500000,,,100000000,0,-0.00919540229885063,0.9451754385964912,100000000,1.0
2023-08-28,VCB,HOSE,,86400,87500,86200,87000,1378300,119674570000.0010,,,100000000,0,0.009280742459396807,0.9539473684210527,100000000,1.0
2023-08-29,VCB,HOSE,,87000,88500,86900,88400,1391900,122266960000,Buy,Buy,99116000,10,0.016091954022988464,0.9692982456140351,100000000,1.0
2023-08-30,VCB,HOSE,,88500,89500,88500,89100,1350000,120437169999.9980,,,99116000,10,0.007918552036199067,0.9769736842105263,100007000,1.00007
2023-08-31,VCB,HOSE,,89100,89600,88300,89100,1531200,136656360000.0010,,,99116000,10,0.0,0.9769736842105263,100007000,1.00007
2023-09-05,VCB,HOSE,,89100,90700,89100,90100,1942200,174726890000,,,99116000,10,0.011223344556677839,0.9879385964912281,100017000,1.00017
2023-09-06,VCB,HOSE,,90200,90200,89700,90200,2017600,181566640000.0010,Buy,Buy,98214000,20,0.0011098779134295356,0.9890350877192983,100018000,1.00018
2023-09-07,VCB,HOSE,,90000,90800,89500,89500,1765300,158928000000,,,98214000,20,-0.0077605321507761005,0.981359649122807,100004000,1.00004
2023-09-08,VCB,HOSE,,89500,89500,89100,89500,1341900,119997800000.0010,,,98214000,20,0.0,0.981359649122807,100004000,1.00004
2023-09-11,VCB,HOSE,,89600,90000,88000,88500,1649500,147118400000.0010,,,98214000,20,-0.011173184357541888,0.9703947368421053,99984000,0.99984
2023-09-12,VCB,HOSE,,89000,90000,88900,89900,1572100,140505139999.9990,,,98214000,20,0.01581920903954792,0.9857456140350876,100012000,1.00012
2023-09-13,VCB,HOSE,,90000,90000,88900,89100,1582000,141534340000,,,98214000,20,-0.008898776418242438,0.9769736842105263,99996000,0.99996
2023-09-14,VCB,HOSE,,89000,89500,88100,89100,1512600,134027750000,,,98214000,20,0.0,0.9769736842105263,99996000,0.99996
2023-09-15,VCB,HOSE,,88900,89800,88600,89800,2142400,191698079999.9990,,,98214000,20,0.007856341189674598,0.9846491228070177,100010000,1.0001
2023-09-18,VCB,HOSE,,89500,89700,88300,88800,718100,63680829999.9995,,,98214000,20,-0.011135857461024523,0.9736842105263159,99990000,0.9999
2023-09-19,VCB,HOSE,,88800,89200,86000,88100,1117200,97884730000.0004,,,98214000,20,-0.007882882882882858,0.9660087719298247,99976000,0.99976
2023-09-20,VCB,HOSE,,88100,88400,86400,88000,786000,69132880000.0003,,,98214000,20,-0.0011350737797957144,0.9649122807017545,99974000,0.99974
2023-09-21,VCB,HOSE,,88000,88000,86800,87000,1066900,93129230000.0009,,,98214000,20,-0.011363636363636354,0.9539473684210528,99954000,0.99954
2023-09-22,VCB,HOSE,,86400,89500,86000,89300,2408600,210802430000.0010,,,98214000,20,0.026436781609195492,0.9791666666666669,100000000,1.0
2023-09-25,VCB,HOSE,,89000,89500,88300,89300,2210400,197323750000,,,98214000,20,0.0,0.9791666666666669,100000000,1.0
2023-09-26,VCB,HOSE,,89200,89400,86900,87000,1663200,147482810000,,,98214000,20,-0.025755879059350506,0.9539473684210528,99954000,0.99954
2023-09-27,VCB,HOSE,,87600,89000,87000,87800,1204900,105970970000,,,98214000,20,0.009195402298850519,0.9627192982456141,99970000,0.9997
2023-09-28,VCB,HOSE,,87200,88300,86600,88000,1065100,93111310000.0002,,,98214000,20,0.002277904328018332,0.9649122807017545,99974000,0.99974
2023-09-29,VCB,HOSE,,88300,88300,87100,87500,449300,39385530000.0001,,,98214000,20,-0.005681818181818232,0.9594298245614036,99964000,0.99964
