Datetime,Symbol,Market,Time,Open,High,Low,Close,Volume,Value,Signal,Position,Capital,Shares_Held
2023-11-01,VCB,HOSE,,86800,87800,86100,87800,1479100,128871800000,,,100000000,0
2023-11-02,VCB,HOSE,,88000,89000,86600,89000,1057500,92581159999.9999,,,100000000,0
2023-11-03,VCB,HOSE,,89000,89400,88100,88900,1086600,96662380000,,,100000000,0
2023-11-06,VCB,HOSE,,88900,89800,88500,89500,774800,69184230000.0001,,,100000000,0
2023-11-07,VCB,HOSE,,89000,89300,88300,88300,413900,36651660000,,,100000000,0
2023-11-08,VCB,HOSE,,88000,89700,87900,89500,1270300,113142150000,,,100000000,0
2023-11-09,VCB,HOSE,,89500,89500,87900,87900,1166800,103253840000.0010,,,100000000,0
2023-11-10,VCB,HOSE,,87100,87500,86000,86000,1352000,116750559999.9990,,,100000000,0
2023-11-13,VCB,HOSE,,86000,86100,85400,85500,937700,80335239999.9998,,,100000000,0
2023-11-14,VCB,HOSE,,86000,86500,85400,86000,987500,84764000000,,,100000000,0
2023-11-15,VCB,HOSE,,86500,87700,86500,87700,4067800,353911960000.0020,,,100000000,0
2023-11-16,VCB,HOSE,,87000,88000,86700,88000,1284800,111934439999.9990,Buy,Buy,91200000,100
2023-11-17,VCB,HOSE,,87800,87900,85500,85600,1588000,137424430000,,,91200000,100
2023-11-20,VCB,HOSE,,85600,87000,85000,86100,1098400,94534079999.9997,,,91200000,100
2023-11-21,VCB,HOSE,,86100,86700,85800,86600,1151400,99452789999.9997,,,91200000,100
2023-11-22,VCB,HOSE,,86300,86700,85500,86700,1012700,87170850000,,,91200000,100
2023-11-23,VCB,HOSE,,86700,86800,85500,85500,647200,55796000000,,,91200000,100
2023-11-24,VCB,HOSE,,85500,86000,85000,86000,734500,62837220000,,,91200000,100
2023-11-27,VCB,HOSE,,86000,86000,85100,85800,443000,37878240000.0001,,,91200000,100
2023-11-28,VCB,HOSE,,85500,85900,84800,85800,779400,66396130000,,,91200000,100
2023-11-29,VCB,HOSE,,85400,85900,85100,85100,733100,62652029999.9998,,,91200000,100
2023-11-30,VCB,HOSE,,85100,85400,84700,84700,927600,78797790000.0001,,,91200000,100
2023-12-01,VCB,HOSE,,84900,85000,84100,85000,714700,60396899999.9997,,,91200000,100
