,Ban,Pick,Ban rate,Pick rate,Win,Win rate,Counter,Countered by
Airi,0.0,0.0,0.0,0.0,0.0,,,
Allain,0.0,0.0,0.0,0.0,0.0,,,
Aleister,0.0,1.0,0.0,0.53,0.0,0.0,,
Alice,0.0,0.0,0.0,0.0,0.0,,,
Aoi,5.0,7.0,3.29,3.68,4.0,57.14,,
Amily,0.0,0.0,0.0,0.0,0.0,,,
Annette,0.0,0.0,0.0,0.0,0.0,,,
Arduin,0.0,1.0,0.0,0.53,0.0,0.0,,
Arthur,0.0,0.0,0.0,0.0,0.0,,,
Arum,0.0,0.0,0.0,0.0,0.0,,,
Astrid,0.0,0.0,0.0,0.0,0.0,,,
Ata,0.0,0.0,0.0,0.0,0.0,,,
Aya,18.0,1.0,11.84,0.53,0.0,0.0,,
Azzen'Ka,0.0,0.0,0.0,0.0,0.0,,,
Baldum,1.0,0.0,0.66,0.0,0.0,,,
Bijan,0.0,0.0,0.0,0.0,0.0,,,
Bonnie,0.0,0.0,0.0,0.0,0.0,,,
Bright,0.0,0.0,0.0,0.0,0.0,,,
Celica,0.0,0.0,0.0,0.0,0.0,,,
Butterfly,0.0,0.0,0.0,0.0,0.0,,,
Capheny,0.0,0.0,0.0,0.0,0.0,,,
Chaugnar,0.0,1.0,0.0,0.53,1.0,100.0,,
Cresht,0.0,0.0,0.0,0.0,0.0,,,
D'Arcy,0.0,0.0,0.0,0.0,0.0,,,
Dextra,0.0,0.0,0.0,0.0,0.0,,,
Diaochan,0.0,0.0,0.0,0.0,0.0,,,
Dirak,0.0,0.0,0.0,0.0,0.0,,,
Eland'orr,5.0,4.0,3.29,2.11,0.0,0.0,,
Elsu,5.0,8.0,3.29,4.21,3.0,37.5,,
Enzo,2.0,1.0,1.32,0.53,1.0,100.0,,
Errol,0.0,0.0,0.0,0.0,0.0,,,
Erin,1.0,9.0,0.66,4.74,4.0,44.44,,
Fennik,0.0,0.0,0.0,0.0,0.0,,,
Flash,0.0,0.0,0.0,0.0,0.0,,,
Florentino,4.0,5.0,2.63,2.63,4.0,80.0,,
Gildur,0.0,0.0,0.0,0.0,0.0,,,
Grakk,0.0,1.0,0.0,0.53,1.0,100.0,,
Hayate,1.0,2.0,0.66,1.05,0.0,0.0,,
Helen,1.0,1.0,0.66,0.53,1.0,100.0,,
Iggy,3.0,8.0,1.97,4.21,5.0,62.5,,
Ignis,1.0,6.0,0.66,3.16,2.0,33.33,,
Ilumia,2.0,0.0,1.32,0.0,0.0,,,
Ishar,0.0,0.0,0.0,0.0,0.0,,,
Jinnar,0.0,0.0,0.0,0.0,0.0,,,
Kahlii,0.0,0.0,0.0,0.0,0.0,,,
Kaine,16.0,2.0,10.53,1.05,2.0,100.0,,
Keera,8.0,5.0,5.26,2.63,4.0,80.0,,
Kil'Groth,0.0,0.0,0.0,0.0,0.0,,,
Kriknak,0.0,2.0,0.0,1.05,0.0,0.0,,
Krixi,0.0,1.0,0.0,0.53,1.0,100.0,,
Krizzix,2.0,3.0,1.32,1.58,2.0,66.67,,
Lauriel,0.0,0.0,0.0,0.0,0.0,,,
Laville,0.0,0.0,0.0,0.0,0.0,,,
Liliana,1.0,6.0,0.66,3.16,4.0,66.67,,
Lindis,0.0,0.0,0.0,0.0,0.0,,,
Lorion,0.0,1.0,0.0,0.53,1.0,100.0,,
Lu-Bu,0.0,0.0,0.0,0.0,0.0,,,
Lumburr,0.0,0.0,0.0,0.0,0.0,,,
Maloch,3.0,3.0,1.97,1.58,2.0,66.67,,
