,Ban,Pick,Ban rate,Pick rate,Win,Win rate,Counter,Countered by
Airi,0.0,0.0,0.0,0.0,0.0,,,
Allain,0.0,0.0,0.0,0.0,0.0,,,
Aleister,0.0,0.0,0.0,0.0,0.0,,,
Alice,0.0,0.0,0.0,0.0,0.0,,,
Aoi,3.0,4.0,0.026785714285714284,0.028985507246376812,1.0,0.25,,
Amily,0.0,0.0,0.0,0.0,0.0,,,
Annette,0.0,0.0,0.0,0.0,0.0,,,
Arduin,0.0,1.0,0.0,0.007246376811594203,1.0,1.0,,
Arthur,0.0,0.0,0.0,0.0,0.0,,,
Arum,0.0,1.0,0.0,0.007246376811594203,1.0,1.0,,
Astrid,0.0,0.0,0.0,0.0,0.0,,,
Ata,0.0,0.0,0.0,0.0,0.0,,,
Aya,13.0,1.0,0.11607142857142858,0.007246376811594203,0.0,0.0,,
Azzen'Ka,0.0,0.0,0.0,0.0,0.0,,,
Baldum,0.0,1.0,0.0,0.007246376811594203,1.0,1.0,,
Bijan,0.0,0.0,0.0,0.0,0.0,,,
Bonnie,0.0,0.0,0.0,0.0,0.0,,,
Bright,0.0,0.0,0.0,0.0,0.0,,,
Celica,0.0,2.0,0.0,0.014492753623188406,0.0,0.0,,
Butterfly,0.0,0.0,0.0,0.0,0.0,,,
Capheny,0.0,2.0,0.0,0.014492753623188406,1.0,0.5,,
Chaugnar,1.0,0.0,0.008928571428571428,0.0,0.0,,,
Cresht,0.0,0.0,0.0,0.0,0.0,,,
D'Arcy,0.0,0.0,0.0,0.0,0.0,,,
Dextra,0.0,0.0,0.0,0.0,0.0,,,
Diaochan,0.0,0.0,0.0,0.0,0.0,,,
Dirak,0.0,0.0,0.0,0.0,0.0,,,
Eland'orr,5.0,2.0,0.044642857142857144,0.014492753623188406,1.0,0.5,,
Elsu,4.0,5.0,0.03571428571428571,0.036231884057971016,4.0,0.8,,
Enzo,0.0,0.0,0.0,0.0,0.0,,,
Errol,0.0,0.0,0.0,0.0,0.0,,,
Erin,0.0,0.0,0.0,0.0,0.0,,,
Fennik,0.0,0.0,0.0,0.0,0.0,,,
Flash,0.0,0.0,0.0,0.0,0.0,,,
Florentino,6.0,2.0,0.05357142857142857,0.014492753623188406,1.0,0.5,,
Gildur,0.0,0.0,0.0,0.0,0.0,,,
Grakk,1.0,0.0,0.008928571428571428,0.0,0.0,,,
Hayate,0.0,0.0,0.0,0.0,0.0,,,
Helen,0.0,1.0,0.0,0.007246376811594203,0.0,0.0,,
Iggy,3.0,6.0,0.026785714285714284,0.043478260869565216,4.0,0.6666666666666666,,
Ignis,1.0,4.0,0.008928571428571428,0.028985507246376812,1.0,0.25,,
Ilumia,1.0,0.0,0.008928571428571428,0.0,0.0,,,
Ishar,0.0,0.0,0.0,0.0,0.0,,,
Jinnar,0.0,0.0,0.0,0.0,0.0,,,
Kahlii,0.0,0.0,0.0,0.0,0.0,,,
Kaine,10.0,3.0,0.08928571428571429,0.021739130434782608,3.0,1.0,,
Keera,3.0,4.0,0.026785714285714284,0.028985507246376812,1.0,0.25,,
Kil'Groth,0.0,0.0,0.0,0.0,0.0,,,
Kriknak,0.0,0.0,0.0,0.0,0.0,,,
Krixi,0.0,2.0,0.0,0.014492753623188406,1.0,0.5,,
Krizzix,2.0,2.0,0.017857142857142856,0.014492753623188406,1.0,0.5,,
Lauriel,0.0,0.0,0.0,0.0,0.0,,,
Laville,0.0,0.0,0.0,0.0,0.0,,,
